,NPV,Break_Even,IRR,Cust_Contb,CLV,Tot_CLV,EV,MKTSH,Margin,Teach_Req,Teach_No_Req,Signup_Init,Signup_CAGR,Ret_Init,Ret_CAGR,User_Price,Class_Buy,Class_Buy_CAGR,Class_Per,Class_Price,Sponsor_Per,Sponsor_Price,Web_Dev,Web_Maint,Content_Dev,New_Courses,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Inst_Cost,Compute,Bandwidth,Staff_Salary,Ad_State,Ad_User,Legal,Admin,Payment_Proc,Misc,Bus_Dev_A,Bus_Dev_R
1.00,-427414.67,4.00,0.00,101.85,215.67,537382.57,1281160.68,0.05,0.76,3.10,1.50,0.0025,0.99,0.27,0.15,59.27,0.56,0.15,1.00,104.68,1.00,102173.00,54022.00,0.20,29104.00,5.00,2291.00,58.00,0.22,4732.00,8.00,0.45,20.00,15426.00,2.74,0.59,93828.00,6300.00,5.36,5143.00,5835.00,0.05,4506.00,0.28,0.07
2.00,608471.32,4.00,1.00,464.48,1100.04,2742876.24,11634278.51,0.07,0.82,2.40,1.20,0.0025,1.11,0.25,0.14,52.10,0.38,0.07,7.00,176.09,1.00,66315.00,60335.00,0.12,31021.00,3.00,2347.00,57.00,0.24,4237.00,7.00,0.36,26.00,14913.00,3.27,0.69,95078.00,4693.00,6.73,4562.00,5425.00,0.05,5142.00,0.27,0.08
3.00,-109632.71,4.00,2.00,273.54,771.24,1510938.19,4675038.67,0.04,0.76,2.60,1.60,0.0024,0.88,0.21,0.14,48.64,0.36,0.10,5.00,159.42,1.00,87016.00,76066.00,0.10,32908.00,4.00,1988.00,52.00,0.26,4897.00,8.00,0.40,16.00,16595.00,3.04,0.67,104778.00,4934.00,5.32,5270.00,5274.00,0.05,4011.00,0.23,0.10
4.00,-135656.79,4.00,3.00,337.44,1328.08,1381205.61,2484677.26,0.02,0.91,2.90,1.20,0.0025,0.54,0.18,0.09,42.85,0.33,0.10,3.00,168.15,1.00,120086.00,43189.00,0.15,38038.00,5.00,2497.00,48.00,0.29,4986.00,15.00,0.52,22.00,14618.00,2.17,0.60,89709.00,4799.00,9.92,5531.00,6820.00,0.05,5473.00,0.23,0.08
5.00,625246.70,3.00,4.00,429.00,1461.75,3674522.40,10032523.33,0.05,0.91,3.10,1.60,0.0025,0.92,0.18,0.13,55.05,0.30,0.11,5.00,169.30,1.00,136218.00,46283.00,0.11,55942.00,4.00,2371.00,48.00,0.25,4498.00,15.00,0.73,33.00,12715.00,2.58,0.65,98796.00,6261.00,5.04,5698.00,6217.00,0.05,5523.00,0.24,0.14
6.00,-314128.25,4.00,5.00,242.32,903.50,1026024.28,1947025.76,0.03,0.79,2.90,1.40,0.0026,0.54,0.19,0.09,49.33,0.50,0.11,4.00,138.92,1.00,67331.00,40419.00,0.09,30101.00,3.00,1876.00,49.00,0.23,5842.00,11.00,0.47,16.00,15203.00,1.91,0.82,90817.00,6057.00,2.61,4770.00,6299.00,0.05,5647.00,0.22,0.11
7.00,-423740.23,4.00,6.00,312.40,1383.20,1207046.68,1615514.67,0.03,0.82,3.00,0.50,0.0023,0.59,0.16,0.09,44.17,0.71,0.07,4.00,131.90,1.00,76091.00,78771.00,0.17,23668.00,4.00,2244.00,46.00,0.28,4917.00,9.00,0.62,13.00,15450.00,2.55,0.73,94084.00,6988.00,9.56,4577.00,4811.00,0.04,3944.00,0.29,0.08
8.00,-22977.10,4.00,7.00,402.34,1325.18,1513530.88,3421327.95,0.04,0.83,2.80,0.50,0.0025,0.74,0.20,0.11,46.37,0.51,0.12,3.00,157.51,1.00,112342.00,35366.00,0.13,20704.00,4.00,3144.00,44.00,0.18,5471.00,11.00,0.57,12.00,11901.00,2.36,0.72,76669.00,5500.00,8.43,4597.00,5816.00,0.05,6513.00,0.28,0.13
9.00,-781708.30,9.00,8.00,63.05,185.01,252209.67,-628158.49,0.03,0.82,2.70,1.50,0.0026,0.66,0.26,0.07,45.22,0.39,0.09,2.00,130.46,1.00,73716.00,66175.00,0.18,35473.00,5.00,3154.00,37.00,0.30,5092.00,14.00,0.57,23.00,13368.00,2.30,0.70,96683.00,7508.00,3.23,4592.00,4740.00,0.05,4524.00,0.32,0.11
10.00,1017279.18,3.00,9.00,397.99,1083.46,3942953.67,14224429.97,0.08,0.74,3.40,1.10,0.0025,1.21,0.27,0.08,51.86,0.62,0.07,5.00,130.14,1.00,113831.00,47246.00,0.19,41204.00,3.00,2972.00,44.00,0.23,4378.00,9.00,0.42,16.00,14746.00,2.50,0.88,96227.00,5832.00,4.32,5023.00,6911.00,0.05,5812.00,0.24,0.14
