,NPV,BE,Cash_Burn,Net_Con,CLV,Tot_CLV,EV,EV_Rev,MKTSH,Margin,Teach,Signup,Signup_CAGR,Ret,Buy_Class,Buy_Class_CAGR,Class_Price,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Misc,E_Dev,E_Course,E_Mod,E_Instr,E_IT,E_Staff,E_Market,E_BizDev,E_Other,E_Total
1.00,-256656.53,4.00,480860.33,224.56,494.76,731962.84,2200366.32,2832696.59,0.03,0.80,3.10,0.31,0.66,0.31,0.35,0.08,145.95,2853.00,48.00,0.20,4680.00,11.00,0.37,18.00,5194.00,105000.00,24211.70,64262.02,78648.00,2640.59,399304.00,183974.19,60000.00,60431.95,978472.44
2.00,386555.33,3.00,355027.53,602.99,1420.17,2001348.14,7933750.16,4640124.97,0.04,0.87,2.50,0.29,0.72,0.29,0.72,0.12,153.39,2144.00,43.00,0.24,4933.00,7.00,0.62,26.00,5101.00,97500.00,8919.04,30387.28,46200.00,1058.05,193800.00,129783.51,25000.00,38660.17,571308.05
3.00,3341352.45,3.00,279695.55,645.16,1915.89,11285393.65,40104387.64,16738009.07,0.12,0.84,3.90,0.30,1.31,0.23,0.80,0.10,164.37,2671.00,41.00,0.21,5606.00,11.00,0.53,23.00,4518.00,97500.00,11111.36,52023.68,61800.00,1958.35,193800.00,130684.87,25000.00,43543.11,617421.37
4.00,5192.12,4.00,456344.37,251.44,477.04,1145924.86,5122138.31,3834048.70,0.06,0.83,3.10,0.30,0.94,0.36,0.31,0.10,155.48,2930.00,55.00,0.25,5758.00,13.00,0.47,19.00,5234.00,105000.00,24865.15,79064.25,63048.00,2981.44,399304.00,184749.27,60000.00,61904.83,980916.94
5.00,272659.27,4.00,392355.44,418.13,1098.42,2127557.05,7405344.66,4786412.03,0.05,0.81,2.50,0.31,0.83,0.26,0.48,0.11,176.94,3351.00,55.00,0.19,5275.00,10.00,0.45,15.00,4731.00,105000.00,28437.93,55965.64,111096.00,3046.71,399304.00,183989.69,60000.00,65084.49,1011924.46
6.00,67897.09,4.00,415637.15,456.99,2080.86,2643080.47,5017341.91,3656943.81,0.03,0.85,3.20,0.29,0.52,0.15,0.54,0.10,169.11,1683.00,53.00,0.27,5164.00,4.00,0.61,27.00,5314.00,105000.00,14282.61,54366.59,141696.00,2953.85,399304.00,183429.07,60000.00,66521.77,1027553.89
7.00,630059.75,3.00,362252.27,576.12,1788.61,3502534.44,10932038.67,5688194.67,0.05,0.87,2.60,0.30,0.82,0.22,0.65,0.12,159.73,2918.00,50.00,0.22,4482.00,12.00,0.66,13.00,3955.00,97500.00,12138.88,27609.12,61800.00,1128.31,193800.00,129907.67,25000.00,36673.56,585557.54
8.00,-47377.66,4.00,412602.35,404.96,1106.37,1304780.78,3846466.33,3319545.10,0.03,0.83,3.20,0.30,0.53,0.25,0.52,0.12,149.85,2381.00,57.00,0.20,5466.00,8.00,0.34,26.00,4943.00,105000.00,20206.12,57546.05,94872.00,2904.57,399304.00,183556.41,60000.00,63481.22,986870.36
9.00,-73119.51,4.00,449633.39,386.44,1199.75,1531192.08,3930250.19,3231263.03,0.04,0.87,2.20,0.29,0.67,0.22,0.48,0.10,152.18,3977.00,50.00,0.26,4440.00,12.00,0.53,16.00,4987.00,105000.00,33750.41,42304.32,78648.00,2362.89,399304.00,183137.17,60000.00,60682.99,965189.78
10.00,-67376.19,4.00,497314.93,351.99,961.65,1537668.92,4744011.52,4081318.39,0.04,0.75,2.60,0.29,0.75,0.25,0.55,0.11,148.96,2656.00,55.00,0.21,4853.00,5.00,0.49,18.00,5018.00,105000.00,22539.88,51488.39,189744.00,2940.48,399304.00,183633.15,60000.00,64072.30,1078722.20
11.00,568592.88,3.00,352504.72,447.89,1054.87,2469278.81,10028353.44,5463154.93,0.05,0.86,3.50,0.29,0.87,0.29,0.53,0.11,157.99,2867.00,51.00,0.22,5044.00,15.00,0.47,18.00,4228.00,97500.00,11926.72,31071.04,46200.00,1232.52,193800.00,130187.73,25000.00,37143.04,574061.04
12.00,130342.51,4.00,417997.37,328.58,660.07,1383985.85,6086289.53,4060840.15,0.06,0.85,2.30,0.29,0.97,0.34,0.41,0.09,157.44,2731.00,59.00,0.28,5281.00,11.00,0.44,22.00,5226.00,105000.00,23176.36,50317.37,63048.00,2672.96,399304.00,183974.03,60000.00,62237.89,949730.61
13.00,-131386.75,4.00,452641.31,440.50,859.63,841095.40,3341500.86,3063188.94,0.03,0.85,2.10,0.30,0.61,0.35,0.51,0.12,161.85,2279.00,50.00,0.22,5005.00,8.00,0.41,23.00,5325.00,105000.00,19340.51,47687.64,94872.00,2202.68,399304.00,183014.06,60000.00,61999.21,973420.09
14.00,373468.25,4.00,361764.75,379.84,1179.25,2722771.98,8182996.85,4889157.19,0.05,0.84,3.10,0.30,0.85,0.22,0.61,0.07,137.10,2291.00,51.00,0.22,5082.00,11.00,0.49,23.00,4482.00,105000.00,19442.34,75278.65,94872.00,3817.43,399304.00,184452.50,60000.00,65630.39,1007797.31
15.00,319840.43,4.00,420047.59,330.72,903.56,2457968.05,8422721.75,5045970.81,0.07,0.83,2.40,0.31,1.02,0.25,0.44,0.11,143.21,1872.00,47.00,0.22,4656.00,10.00,0.51,25.00,5035.00,105000.00,15886.54,68968.40,94872.00,3289.06,399304.00,184458.58,60000.00,63833.22,995611.80
16.00,-39766.39,4.00,433984.11,302.67,861.37,1416958.48,4070255.23,3319573.35,0.04,0.85,2.80,0.30,0.72,0.24,0.39,0.09,153.25,1857.00,54.00,0.27,4237.00,10.00,0.44,20.00,5490.00,105000.00,15759.24,49189.88,78648.00,2696.78,399304.00,183811.97,60000.00,62628.02,957037.89
17.00,-342241.12,4.00,499330.23,228.85,710.50,807545.73,1404429.18,2286831.66,0.03,0.88,1.90,0.31,0.62,0.22,0.29,0.10,133.56,3384.00,60.00,0.23,4393.00,11.00,0.65,22.00,5436.00,105000.00,28717.98,37105.04,46824.00,1855.66,399304.00,182972.73,60000.00,57293.92,919073.32
18.00,47699.07,4.00,465979.64,406.76,1207.92,1928832.94,5769201.04,4414924.39,0.04,0.76,2.80,0.30,0.70,0.23,0.60,0.14,139.02,1327.00,39.00,0.23,5114.00,5.00,0.45,25.00,5615.00,105000.00,11261.45,75752.66,174144.00,3306.47,399304.00,183755.24,60000.00,67571.31,1080095.13
19.00,1014242.63,3.00,372816.87,430.52,1400.23,5315568.14,16432767.81,8697956.99,0.10,0.77,2.30,0.30,1.23,0.21,0.59,0.11,156.49,2081.00,46.00,0.28,5225.00,13.00,0.32,15.00,5286.00,97500.00,8656.96,32186.00,61800.00,1133.44,193800.00,130006.58,25000.00,39038.78,589121.76
20.00,-142783.74,4.00,545766.67,279.69,596.98,1194251.97,4608518.45,4404624.85,0.04,0.70,3.70,0.30,0.77,0.32,0.50,0.10,149.62,4028.00,52.00,0.31,5397.00,5.00,0.48,14.00,5944.00,105000.00,34183.22,68269.89,254016.00,3635.76,399304.00,184682.96,60000.00,69535.58,1178627.41
21.00,725734.35,3.00,351591.45,530.27,1131.81,2558203.58,11687729.63,5728773.52,0.06,0.91,2.80,0.29,0.94,0.32,0.60,0.09,166.80,2689.00,44.00,0.34,4615.00,12.00,0.69,20.00,5490.00,97500.00,11186.24,28428.40,46200.00,1116.13,193800.00,129994.19,25000.00,39706.71,572931.67
22.00,-2359.46,4.00,505338.94,217.35,645.44,1977167.88,5788037.21,4424248.11,0.08,0.77,2.60,0.30,1.07,0.23,0.44,0.06,121.86,2738.00,51.00,0.25,4279.00,6.00,0.57,19.00,5463.00,105000.00,23235.76,63383.97,142920.00,3394.10,399304.00,184686.49,60000.00,63389.81,1045314.13
23.00,148601.74,4.00,472850.69,214.23,609.67,2288043.34,7242446.78,5069432.37,0.08,0.77,3.20,0.31,1.10,0.24,0.31,0.10,146.27,3235.00,47.00,0.21,5161.00,11.00,0.58,15.00,5309.00,105000.00,27453.50,98562.71,94872.00,3707.76,399304.00,185571.88,60000.00,64201.46,1038673.32
24.00,-91082.43,4.00,457968.37,314.19,580.00,896992.73,3909827.20,3329849.49,0.04,0.84,3.00,0.31,0.72,0.37,0.45,0.10,138.20,2289.00,53.00,0.25,5334.00,9.00,0.45,21.00,5065.00,105000.00,19425.37,67472.97,94872.00,2908.16,399304.00,184080.48,60000.00,62003.56,995066.54
25.00,285415.55,4.00,377464.09,462.41,1214.73,2080881.19,7270782.67,4345047.86,0.04,0.88,2.90,0.30,0.74,0.26,0.52,0.13,150.13,2443.00,61.00,0.27,5340.00,14.00,0.52,16.00,4525.00,105000.00,20732.28,50879.52,94872.00,3194.27,399304.00,183947.98,60000.00,63669.78,981599.82
26.00,923769.49,3.00,323760.27,522.03,1229.49,3130165.08,13133653.28,6361384.44,0.06,0.89,3.10,0.31,0.92,0.29,0.64,0.11,147.63,2254.00,36.00,0.27,3789.00,19.00,0.46,27.00,4891.00,97500.00,9376.64,31221.36,30600.00,1332.40,193800.00,130184.01,25000.00,39137.31,558151.72
27.00,1131274.45,3.00,353270.03,454.76,1242.43,4546847.42,16745292.35,7904603.80,0.09,0.86,2.80,0.32,1.12,0.25,0.48,0.13,164.73,2509.00,41.00,0.24,4274.00,16.00,0.42,23.00,4863.00,97500.00,10437.44,30772.80,46200.00,1222.25,193800.00,130240.34,25000.00,38374.48,573547.32
28.00,105512.74,4.00,390309.88,397.25,1507.38,2321643.74,5257121.47,3622565.40,0.04,0.88,3.00,0.29,0.65,0.18,0.48,0.11,145.92,3386.00,59.00,0.29,4489.00,16.00,0.37,21.00,5529.00,105000.00,28734.95,42771.19,63048.00,2934.08,399304.00,183654.69,60000.00,64583.08,950030.00
29.00,-13029.12,4.00,424718.65,426.26,1532.32,1889745.11,4359459.29,3291904.87,0.04,0.88,1.60,0.30,0.70,0.19,0.58,0.06,156.99,2643.00,41.00,0.25,5074.00,15.00,0.65,18.00,5566.00,105000.00,22429.56,48345.07,63048.00,2226.13,399304.00,182841.89,60000.00,62775.13,945969.79
30.00,904267.07,3.00,325535.43,549.48,1501.20,3544345.23,12862516.98,6189662.65,0.05,0.89,3.60,0.31,0.81,0.25,0.56,0.13,164.24,1106.00,67.00,0.20,5402.00,12.00,0.53,29.00,4067.00,97500.00,4600.96,33276.32,46200.00,1371.82,193800.00,130288.90,25000.00,37959.90,569997.91
31.00,168936.42,4.00,418519.72,290.97,864.08,2177317.25,6605756.00,4629991.11,0.06,0.79,2.60,0.30,0.96,0.23,0.44,0.08,152.63,1891.00,45.00,0.31,5256.00,11.00,0.30,21.00,3768.00,105000.00,16047.78,72171.19,94872.00,3188.02,399304.00,184346.15,60000.00,59916.22,994845.36
32.00,-53462.48,4.00,415657.60,406.76,1322.95,1509398.24,3707370.28,3054064.45,0.03,0.89,2.90,0.30,0.52,0.21,0.53,0.09,145.67,2289.00,50.00,0.27,4842.00,8.00,0.64,24.00,5619.00,105000.00,19425.37,50976.58,78648.00,2719.92,399304.00,183333.56,60000.00,64279.49,963686.91
33.00,-91630.51,4.00,448630.11,305.93,1044.78,1609927.39,3794469.10,3240052.85,0.04,0.84,2.80,0.31,0.65,0.20,0.34,0.14,151.29,1758.00,45.00,0.26,4911.00,12.00,0.51,18.00,5339.00,105000.00,14919.09,67433.92,63048.00,2635.84,399304.00,183717.71,60000.00,61447.78,957506.35
34.00,157173.58,4.00,427327.69,279.08,828.76,2166509.96,6496256.31,4493951.38,0.06,0.81,3.10,0.29,0.94,0.23,0.41,0.08,149.79,3161.00,58.00,0.22,4827.00,10.00,0.44,19.00,6039.00,105000.00,26825.51,61453.50,94872.00,3333.22,399304.00,184609.52,60000.00,66939.57,1002337.33
35.00,-45611.02,4.00,435475.22,372.49,820.70,1115603.43,4153106.08,3256810.07,0.03,0.87,2.90,0.31,0.64,0.31,0.40,0.11,166.52,2258.00,58.00,0.28,5010.00,10.00,0.51,16.00,4008.00,105000.00,19162.29,52745.28,94872.00,2643.83,399304.00,183763.96,60000.00,58894.66,976386.03
36.00,207370.12,4.00,401385.51,419.90,988.95,1722777.28,6646755.83,4136670.57,0.04,0.87,2.60,0.31,0.78,0.29,0.45,0.14,152.12,1500.00,48.00,0.29,5262.00,10.00,0.60,23.00,3877.00,105000.00,12729.60,66562.20,78648.00,2943.70,399304.00,183931.35,60000.00,59817.75,968936.59
37.00,-386932.79,4.00,532573.10,174.45,661.95,992171.37,1447350.92,2556097.87,0.05,0.79,1.90,0.30,0.75,0.18,0.36,0.07,114.47,2504.00,40.00,0.25,4755.00,6.00,0.64,20.00,4538.00,105000.00,21249.95,60148.85,78648.00,2134.90,399304.00,183183.32,60000.00,55114.07,964783.09
38.00,133314.30,4.00,435749.95,361.38,771.33,1497807.60,6294245.99,4069151.03,0.05,0.86,2.30,0.29,0.92,0.32,0.43,0.10,158.39,1661.00,54.00,0.27,5806.00,7.00,0.70,21.00,4378.00,105000.00,14095.91,55319.57,94872.00,2665.92,399304.00,183839.36,60000.00,59969.95,975066.71
39.00,125315.13,4.00,419208.63,341.68,707.19,1374244.03,5864517.02,4221866.38,0.05,0.81,2.50,0.32,0.85,0.33,0.46,0.09,162.90,1946.00,47.00,0.21,5294.00,10.00,0.39,22.00,5702.00,105000.00,16514.53,72692.97,94872.00,2997.01,399304.00,184160.19,60000.00,66267.07,1001807.78
40.00,271420.90,4.00,386852.26,394.63,1225.18,2471765.72,7240960.44,4602799.87,0.05,0.83,3.10,0.30,0.78,0.22,0.57,0.11,134.26,3643.00,67.00,0.26,4859.00,8.00,0.44,24.00,5321.00,105000.00,30915.96,46296.55,111096.00,3616.19,399304.00,184229.67,60000.00,66976.94,1007435.31
41.00,17482.74,4.00,483938.08,245.56,1118.14,2965493.33,5642589.31,4200144.10,0.06,0.80,3.00,0.31,0.88,0.15,0.33,0.11,146.76,3219.00,43.00,0.28,5458.00,10.00,0.50,18.00,4535.00,105000.00,27317.72,92427.96,94872.00,3262.17,399304.00,184591.94,60000.00,60669.57,1027445.35
42.00,29736.95,4.00,425211.04,308.09,1052.14,1961059.89,4915040.47,3731799.41,0.04,0.83,2.90,0.30,0.75,0.20,0.48,0.10,128.45,1607.00,46.00,0.25,6154.00,14.00,0.49,23.00,4345.00,105000.00,13637.64,84501.80,63048.00,3142.10,399304.00,183977.48,60000.00,60285.37,972896.40
43.00,475132.27,4.00,372359.75,361.16,1121.25,3117158.91,9496182.89,5442076.09,0.06,0.84,3.10,0.30,0.95,0.22,0.56,0.05,153.47,3388.00,61.00,0.26,5620.00,10.00,0.56,17.00,4909.00,105000.00,28751.92,65704.54,126696.00,3884.07,399304.00,184782.96,60000.00,68157.76,1042281.26
44.00,392153.06,3.00,361235.39,368.49,811.88,1955403.06,8271408.80,4815771.27,0.05,0.86,3.90,0.30,0.84,0.31,0.42,0.10,166.19,2506.00,58.00,0.34,4863.00,13.00,0.38,20.00,6257.00,97500.00,10424.96,29956.08,46200.00,1240.72,193800.00,130356.65,25000.00,40912.14,575390.55
45.00,42716.69,4.00,393458.02,401.81,1372.21,1789766.98,4367085.78,3322107.70,0.03,0.87,3.50,0.30,0.52,0.20,0.47,0.11,153.92,2169.00,55.00,0.18,4675.00,12.00,0.57,22.00,4543.00,105000.00,18407.00,59136.88,78648.00,3006.77,399304.00,183722.67,60000.00,62323.73,969549.05
46.00,-296077.51,4.00,469589.83,358.47,816.13,605236.56,1498585.07,2363851.64,0.02,0.86,2.50,0.31,0.41,0.30,0.48,0.08,155.71,3135.00,61.00,0.30,5076.00,7.00,0.40,21.00,5163.00,105000.00,26604.86,32104.68,94872.00,2105.52,399304.00,182892.67,60000.00,60125.54,963009.28
47.00,-259790.50,4.00,547296.34,167.32,952.35,2588247.10,3510224.83,5028323.46,0.07,0.55,2.40,0.29,0.99,0.12,0.42,0.12,144.13,2569.00,47.00,0.26,5517.00,10.00,0.24,10.00,4786.00,105000.00,21801.56,81722.22,191592.00,3152.52,399304.00,184121.83,60000.00,62365.91,1109060.04
48.00,442204.05,3.00,358425.31,334.94,953.19,2714906.89,8976480.68,5006427.49,0.06,0.87,3.90,0.29,0.91,0.24,0.48,0.09,132.41,2695.00,50.00,0.27,5192.00,12.00,0.72,28.00,4437.00,97500.00,11211.20,37382.40,30600.00,1311.21,193800.00,130346.68,25000.00,36766.20,563917.70
49.00,-255057.49,4.00,488801.33,187.87,802.00,1498986.26,2446824.31,2886908.93,0.05,0.81,2.80,0.30,0.74,0.16,0.32,0.09,121.03,1959.00,56.00,0.20,4828.00,9.00,0.49,20.00,4563.00,105000.00,16624.86,51223.15,78648.00,2660.63,399304.00,183869.23,60000.00,56850.57,954180.44
50.00,-214975.00,4.00,469714.85,333.10,710.97,763660.99,2500547.72,2748295.48,0.03,0.85,2.30,0.29,0.63,0.32,0.44,0.12,136.20,2899.00,60.00,0.14,5270.00,11.00,0.42,25.00,4981.00,105000.00,24602.07,50212.56,63048.00,2185.86,399304.00,183114.61,60000.00,58709.53,946176.64
51.00,645364.22,3.00,355617.41,460.91,1656.90,4027756.37,10808840.53,5702120.95,0.05,0.87,3.30,0.30,0.84,0.19,0.55,0.10,160.97,3258.00,57.00,0.30,5922.00,8.00,0.44,34.00,4978.00,97500.00,13553.28,36479.52,46200.00,1252.40,193800.00,130154.28,25000.00,38959.29,582898.77
52.00,632089.92,3.00,368715.59,388.22,1060.65,3062169.72,10834770.56,6215392.13,0.06,0.80,3.90,0.32,0.87,0.25,0.67,0.07,137.84,2210.00,55.00,0.23,4826.00,9.00,0.48,18.00,4925.00,97500.00,9193.60,34747.20,92400.00,1636.29,193800.00,130493.44,25000.00,40305.10,625075.63
53.00,353774.16,4.00,363688.49,322.03,758.45,2009211.87,7916600.43,4738550.65,0.06,0.85,3.30,0.31,0.92,0.29,0.43,0.09,147.45,1788.00,53.00,0.25,4902.00,15.00,0.47,21.00,5409.00,105000.00,15173.68,72612.35,63048.00,3658.05,399304.00,185008.36,60000.00,66556.09,970360.53
54.00,-176783.52,4.00,412611.23,457.97,1203.08,840981.17,2178086.39,2418636.36,0.02,0.91,2.90,0.30,0.34,0.26,0.51,0.09,159.41,1635.00,49.00,0.30,4729.00,7.00,0.56,33.00,4432.00,105000.00,13875.26,44672.03,63048.00,2241.22,399304.00,182880.04,60000.00,59045.42,930065.97
55.00,497395.62,3.00,378746.47,435.54,991.60,2315713.13,9742949.50,5809931.62,0.05,0.79,3.60,0.31,0.83,0.30,0.62,0.11,147.73,1727.00,53.00,0.29,5231.00,8.00,0.44,18.00,5280.00,97500.00,7184.32,32222.96,92400.00,1419.64,193800.00,130302.51,25000.00,40279.42,620108.85
56.00,58857.51,4.00,445315.11,248.39,892.91,2295983.21,5558765.08,3858037.04,0.06,0.85,3.30,0.30,0.87,0.19,0.31,0.09,150.44,2148.00,57.00,0.30,5025.00,9.00,0.59,22.00,4399.00,105000.00,18228.79,68999.28,78648.00,3193.16,399304.00,184692.76,60000.00,59691.80,977757.79
